GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InnovatEPAM Auth Service,com.innovatepam.auth.model,Role,3,21,0,0,1,9,1,6,1,6
InnovatEPAM Auth Service,com.innovatepam.auth.model,AuthenticationAttempt,7,38,0,2,3,16,2,11,2,10
InnovatEPAM Auth Service,com.innovatepam.auth.model,User,4,83,0,6,2,30,1,22,1,19
InnovatEPAM Auth Service,com.innovatepam.idea.controller,IdeaEvaluationController,43,41,0,0,8,11,3,3,3,3
InnovatEPAM Auth Service,com.innovatepam.idea.controller,IdeaController,68,100,6,6,13,23,6,7,2,5
InnovatEPAM Auth Service,com.innovatepam.idea.util,FileValidator,18,151,5,24,4,30,6,14,1,4
InnovatEPAM Auth Service,com.innovatepam.idea.util,IdeaStatusValidator,3,78,1,13,1,18,2,10,1,4
InnovatEPAM Auth Service,com.innovatepam.idea.util,FileValidator.ValidationResult,0,27,0,0,0,8,0,5,0,5
InnovatEPAM Auth Service,com.innovatepam.auth.service,AuthService,0,117,0,6,0,29,0,6,0,3
InnovatEPAM Auth Service,com.innovatepam.auth.service,RegistrationService,0,85,0,2,0,22,0,3,0,2
InnovatEPAM Auth Service,com.innovatepam.auth.service,AuthenticationAttemptService,0,79,0,2,0,23,0,4,0,3
InnovatEPAM Auth Service,com.innovatepam.auth.service,RoleService,0,29,0,2,0,6,0,4,0,3
InnovatEPAM Auth Service,com.innovatepam.idea.dto,EvaluationHistoryResponse,9,0,0,0,1,0,1,0,1,0
InnovatEPAM Auth Service,com.innovatepam.idea.dto,IdeaResponse,1,57,1,3,0,10,1,3,0,2
InnovatEPAM Auth Service,com.innovatepam.idea.dto,IdeaDetailResponse,5,70,2,2,0,16,2,2,0,2
InnovatEPAM Auth Service,com.innovatepam.idea.dto,AddCommentRequest,6,0,0,0,1,0,1,0,1,0
InnovatEPAM Auth Service,com.innovatepam.idea.dto,PageResponse,0,26,0,0,0,7,0,2,0,2
InnovatEPAM Auth Service,com.innovatepam.idea.dto,UpdateIdeaStatusRequest,0,9,0,0,0,1,0,1,0,1
InnovatEPAM Auth Service,com.innovatepam.idea.dto,FileMetadataResponse,28,0,0,0,6,0,2,0,2,0
InnovatEPAM Auth Service,com.innovatepam.idea.dto,IdeaEvaluationResponse,33,0,0,0,7,0,2,0,2,0
InnovatEPAM Auth Service,com.innovatepam.idea.dto,PageResponse.PageableInfo,0,15,0,0,0,1,0,1,0,1
InnovatEPAM Auth Service,com.innovatepam.idea.service,FileStorageService,89,175,17,23,21,39,13,14,2,5
InnovatEPAM Auth Service,com.innovatepam.idea.service,IdeaEvaluationService,0,74,0,2,0,17,0,7,0,6
InnovatEPAM Auth Service,com.innovatepam.idea.service,IdeaService,59,184,17,17,7,38,16,15,3,11
InnovatEPAM Auth Service,com.innovatepam.idea.exception,IdeaNotFoundException,4,5,0,0,2,2,1,1,1,1
InnovatEPAM Auth Service,com.innovatepam.idea.exception,IdeaExceptionHandler.ValidationErrorResponse,18,0,0,0,1,0,1,0,1,0
InnovatEPAM Auth Service,com.innovatepam.idea.exception,IdeaExceptionHandler.InvalidStatusTransitionErrorResponse,0,21,0,0,0,1,0,1,0,1
InnovatEPAM Auth Service,com.innovatepam.idea.exception,UnauthorizedAccessException,4,0,0,0,2,0,1,0,1,0
InnovatEPAM Auth Service,com.innovatepam.idea.exception,IdeaExceptionHandler,73,65,4,2,14,15,8,5,5,5
InnovatEPAM Auth Service,com.innovatepam.idea.exception,InvalidFileException,5,4,0,0,2,2,1,1,1,1
InnovatEPAM Auth Service,com.innovatepam.idea.exception,InvalidStatusTransitionException,0,30,0,0,0,10,0,4,0,4
InnovatEPAM Auth Service,com.innovatepam.idea.model,IdeaStatus,0,27,0,0,0,5,0,1,0,1
InnovatEPAM Auth Service,com.innovatepam.idea.model,IdeaEvaluation,7,45,1,1,3,19,3,12,2,12
InnovatEPAM Auth Service,com.innovatepam.idea.model,Idea,15,92,1,1,7,37,4,22,3,22
